"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21"
"30" "TREGO" 10 0.37380955 0.36688315 0.33636365 0.33593075 0.33593075 0.3292208 0.3292208 0.32305195 0.31569265 0.2904762 0.2904762 0.2904762 0.2904762 0.2904762 0.2904762 0.2904762 0.2904762 0.2904762 0.2904762
"31" "EGO" 11 0.37662335 0.369697 0.36222945 0.36222945 0.34556275 0.3288961 0.32878785 0.32186145 0.3126623 0.284632 0.284632 0.284632 0.284632 0.284632 0.284632 0.284632 0.284632 0.284632 0.284632
"32" "RSO" 11 0.37662335 0.370715002997623 0.370272636980211 0.323346147802317 0.320566764083404 0.320638188283371 0.316448948097454 0.31624125220095 0.316752586224854 0.342405648814527 0.342297152284313 0.299909930864734 0.299891856637935 0.299474512052874 0.299990324064776 0.299970311091666 0.300104748700432 0.299398199768423 0.299493450272747
"33" "TREGO" 11 0.37662335 0.3664502 0.3508658 0.3352814 0.3003247 0.3003247 0.299026 0.299026 0.299026 0.3041126 0.3041126 0.3041126 0.3041126 0.2993506 0.2993506 0.2993506 0.2993506 0.2891775 0.2891775
"34" "EGO" 12 0.34372295 0.34372295 0.34372295 0.34372295 0.329329 0.29437225 0.29437225 0.2850649 0.2850649 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558 0.2941558
"35" "RSO" 12 0.34372295 0.307295102997623 0.307177386980211 0.307437047802317 0.301952064083404 0.298776738283371 0.299132948097454 0.28745340220095 0.286233136224854 0.290674048814527 0.290565552284313 0.291035430864734 0.291017356637935 0.290383512052874 0.277046524064776 0.277026511091666 0.277160948700432 0.276454399768423 0.276549650272748
"36" "TREGO" 12 0.34372295 0.3320346 0.312987 0.312987 0.3098485 0.3098485 0.3098485 0.3098485 0.3034632 0.3025974 0.3025974 0.3025974 0.3025974 0.2989177 0.2989177 0.2989177 0.2989177 0.2935065 0.2935065
"37" "EGO" 13 0.3707792 0.345671 0.345671 0.32521645 0.32521645 0.32521645 0.30887445 0.30833335 0.2892857 0.2995671 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2852814 0.2852814
"38" "RSO" 13 0.3707792 0.279481252997623 0.279363536980211 0.279623197802317 0.278900114083404 0.278971538283371 0.279327748097454 0.27912005220095 0.279631386224854 0.276171848814527 0.276063352284313 0.276533230864734 0.276515156637935 0.276097812052874 0.276613624064776 0.276593611091666 0.276728048700432 0.276021499768423 0.276116750272748
"39" "TREGO" 13 0.3707792 0.3707792 0.31720775 0.2924242 0.28560605 0.28560605 0.28560605 0.28560605 0.28560605 0.2857143 0.2857143 0.2857143 0.2857143 0.2857143 0.2857143 0.2857143 0.2857143 0.2857143 0.2857143
"40" "EGO" 14 0.36158005 0.3478355 0.3478355 0.3351732 0.32478355 0.32402595 0.32402595 0.32402595 0.3146104 0.2937229 0.2937229 0.2854978 0.2854978 0.2854978 0.2854978 0.2854978 0.2854978 0.2854978 0.2854978
"41" "RSO" 14 0.36158005 0.298961802997623 0.294298636980211 0.294558297802317 0.293835214083405 0.293906638283371 0.294262848097454 0.29405515220095 0.294566486224854 0.301280148814527 0.301171652284313 0.295797330864734 0.295779256637935 0.295361912052874 0.295877724064776 0.295857711091666 0.271533248700432 0.270826699768423 0.270921950272748
"42" "TREGO" 14 0.36158005 0.31309525 0.312987 0.29880955 0.29880955 0.29880955 0.2961039 0.2961039 0.2875541 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2891775 0.2709957 0.2709957 0.2709957 0.2709957
"43" "EGO" 15 0.36158005 0.36158005 0.35898265 0.35248915 0.35248915 0.345671 0.317316 0.2944805 0.2944805 0.3134199 0.3134199 0.3134199 0.3134199 0.3134199 0.3134199 0.3134199 0.3075758 0.3075758 0.3041126
"44" "RSO" 15 0.36158005 0.346147902997623 0.342350536980211 0.316960847802317 0.316237764083404 0.312088438283371 0.307466248097454 0.30228020220095 0.276492886224854 0.271626448814527 0.271517952284313 0.271987830864734 0.271969756637935 0.271552412052874 0.272068224064776 0.272048211091666 0.272182648700432 0.271476099768423 0.271571350272747
"45" "TREGO" 15 0.36158005 0.3491342 0.3491342 0.3220779 0.3220779 0.3220779 0.32012985 0.3038961 0.2917749 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069 0.2764069
"46" "EGO" 16 0.3874459 0.3508658 0.3508658 0.3508658 0.3508658 0.3508658 0.3177489 0.3177489 0.3127706 0.3127706 0.3127706 0.3127706 0.3127706 0.2978355 0.2978355 0.2978355 0.2978355 0.2978355 0.2978355
"47" "RSO" 16 0.3874459 0.384134952997623 0.370380836980211 0.356138397802317 0.355415314083404 0.355486738283371 0.355842948097454 0.35563525220095 0.356146586224854 0.355609148814527 0.290565552284313 0.268957530864734 0.268939456637935 0.268522112052874 0.269037924064776 0.269017911091666 0.269152348700432 0.268445799768423 0.266160050272748
"48" "TREGO" 16 0.3874459 0.3787879 0.3638528 0.3638528 0.3590909 0.3590909 0.3166667 0.3166667 0.3166667 0.2989177 0.2989177 0.2989177 0.2989177 0.2989177 0.2800866 0.2800866 0.2800866 0.2800866 0.2800866
"49" "EGO" 17 0.3751082 0.3266234 0.3136364 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519 0.2980519
"50" "RSO" 17 0.3751082 0.371797252997623 0.371679536980211 0.361333197802317 0.359744314083405 0.359815738283371 0.304977148097454 0.30044045220095 0.300951786224854 0.300414348814527 0.300305852284313 0.300775730864734 0.300757656637935 0.300340312052874 0.300856124064776 0.300836111091666 0.290364448700432 0.289657899768423 0.289753150272748
